name,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
Jet Lag,A$AP Ferg,0AUurCHJ6A8Ua4yXyKXNuM,0.85,0.8029999999999999,1.0,0.9370113868116928,1,0.292,0.0085,2.4100000000000003e-05,0.10400000000000001,0.433,0.7726004236017052,0.0492688687388298,0.8,hiphop
Can't Get You Out of My Head,Johnny Goth,6mtTiVREzK3kV0E65MXCZo,0.396,0.682,0.7272727272727273,0.7770224337185587,1,0.0356,0.00588,0.127,0.12,0.262,0.6859984183112292,0.04562198438003948,0.8,rock
Rain,Tones On Tail,5Srq4DJy3AMtHeX4q5uTZX,0.24600000000000002,0.33299999999999996,0.8181818181818182,0.7415448674371177,1,0.0326,0.851,0.762,0.155,0.071,0.6742221091001646,0.13425064975566267,0.8,rock
MVP,Big L,5LN1B9uVAVleCZ2euGarvi,0.857,0.672,0.9090909090909091,0.8809908225696805,0,0.16,0.0649,0.0,0.355,0.6709999999999999,0.39440863929314873,0.05352066656692378,0.8,hiphop
"Suite From Mulan - From ""Mulan""/Score",Jerry Goldsmith,1b6Spq4MiEzShOBQLtEhWe,0.14300000000000002,0.102,0.0,0.589692386131883,1,0.0358,0.794,0.893,0.27,0.0761,0.42276541010280977,0.11174562307911903,0.8,classical
Yamborghini High (feat. Juicy J),A$AP Mob,2rqUblDWJKlMVwh9uJc0Vv,0.838,0.765,0.6363636363636364,0.8732367437117607,1,0.28,0.0283,1.4999999999999999e-05,0.0779,0.635,0.626162404894145,0.07685741417597171,0.8,hiphop
Nothing Compares 2 U,Chris Cornell,65mnqRK6fcQWpgNV2UibqM,0.491,0.564,0.09090909090909091,0.872450713800136,1,0.0264,0.115,0.0,0.0587,0.40399999999999997,0.29543037387850085,0.06292110609059443,0.8,rock
"Sonate en La Mineur, K. 109: Adagio",Domenico Scarlatti,7Kmg5LHY3uAZ52naF4XWi2,0.41,0.0327,0.8181818181818182,0.38209551325628816,0,0.0416,0.995,0.922,0.127,0.0543,0.6187675553818324,0.1005568291642959,0.8,classical
Unfurled World,FKAjazz,52CXlpX2mwIVsODh61PWl0,0.519,0.773,0.5454545454545454,0.8818830727396328,1,0.0333,0.0158,0.812,0.0789,0.514,0.4267832631875574,0.034810735066707496,0.8,jazz
Métaboles: I. Incantatoire,Henri Dutilleux,2L40SzklXISbK6ffl8ZLNq,0.278,0.124,0.8181818181818182,0.534712780421482,1,0.0369,0.9590000000000001,0.912,0.312,0.0349,0.283713150742212,0.04792177837261715,0.8,classical
Trample Dem,Kabaka Pyramid,7Dyln70mOiNJJOCsgieCHc,0.677,0.741,0.5454545454545454,0.8586208361658735,0,0.354,0.179,0.0,0.32,0.871,0.744557263496623,0.04494212339504948,0.8,reggae
Ralph J. Gleason Blues,Red Garland,3qfsuszc9cwvUI56OdCbqR,0.49700000000000005,0.315,0.9090909090909091,0.5837440516655337,1,0.0426,0.968,0.875,0.106,0.8220000000000001,0.4220472870401512,0.10446981930911864,0.8,jazz
Impact (feat. Robyn & Channel Tres),SG Lewis,0Gv33C5DRmJueolmdFjfU7,0.67,0.7809999999999999,1.0,0.9122195785180149,0,0.259,0.0224,2.69e-06,0.298,0.8390000000000001,0.5274341190266251,0.07163719339238,0.8,hiphop
Part Trio,Anat Fort Trio,3omoiQ4UyC7JOQt2T0yF2K,0.35600000000000004,0.21600000000000003,0.09090909090909091,0.5426155676410606,0,0.0391,0.909,0.877,0.10099999999999999,0.109,0.47765182848676024,0.07801025854647294,0.8,jazz
Running,daysormay,16GhKGMd58IunTUMrBYk5g,0.524,0.34299999999999997,0.18181818181818182,0.8549031271244052,1,0.04,0.331,6.0899999999999996e-05,0.0891,0.594,0.8254960957739822,0.04485763200096112,0.6,rock
Times Like These - Acoustic Version,Foo Fighters,1pXgBjIvALm97lDhroan2E,0.588,0.5589999999999999,0.36363636363636365,0.9040406186267844,0,0.0272,0.128,0.0,0.0977,0.278,0.5628857638920451,0.05905611604008766,0.8,rock
