Position,Track Name,Artist,Streams,date,region,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Top_50_Appearnces
1.0,Starboy,The Weeknd,3135625.0,2017-01-01,global,5aAx2yezTd8zXrkmtKl66Z,0.6809999999999999,0.594,7.0,-7.028,1.0,0.282,0.165,3.49e-06,0.134,0.535,186.054,100
2.0,Closer,The Chainsmokers,3015525.0,2017-01-01,global,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,126
3.0,Let Me Love You,DJ Snake,2545384.0,2017-01-01,global,4pdPtRcBmOSQDlJ3Fk945m,0.47600000000000003,0.718,8.0,-5.309,1.0,0.0576,0.0784,1.0199999999999999e-05,0.122,0.142,199.864,64
4.0,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2356604.0,2017-01-01,global,5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9.0,-4.0680000000000005,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,155
5.0,One Dance,Drake,2259887.0,2017-01-01,global,1xznGGDReH1oQq0xzbwXa3,0.7909999999999999,0.619,1.0,-5.886,1.0,0.0532,0.00784,0.004229999999999999,0.35100000000000003,0.371,103.98899999999999,62
6.0,Fake Love,Drake,2137437.0,2017-01-01,global,343YBumqHu19cGoGARUTsd,0.9279999999999999,0.48100000000000004,9.0,-9.35,0.0,0.287,0.105,0.0,0.17600000000000002,0.613,134.007,86
7.0,24K Magic,Bruno Mars,2111599.0,2017-01-01,global,6b8Be6ljOzmkOmFslEb23P,0.818,0.8029999999999999,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,61
8.0,Don't Wanna Know,Maroon 5,2107137.0,2017-01-01,global,5MFzQMkrl1FOOng9tq6R9r,0.7829999999999999,0.623,7.0,-6.126,1.0,0.08,0.33799999999999997,0.0,0.0975,0.447,100.04799999999999,60
9.0,Black Beatles,Rae Sremmurd,2075732.0,2017-01-01,global,6fujklziTHa8uoM5OQSfIo,0.794,0.632,0.0,-6.162999999999999,1.0,0.0649,0.142,0.0,0.128,0.355,145.92600000000002,51
10.0,I Feel It Coming,The Weeknd,1949575.0,2017-01-01,global,5GXAXm5YOmYT0kL5jHvYBt,0.773,0.8190000000000001,0.0,-5.946000000000001,0.0,0.11800000000000001,0.426,0.0,0.0679,0.585,92.99,144
11.0,Chantaje (feat. Maluma),Shakira,1893214.0,2017-01-01,global,6mICuAdrwEjh6Y6lroV2Kg,0.852,0.773,8.0,-2.9210000000000003,0.0,0.0776,0.187,3.05e-05,0.159,0.907,102.03399999999999,97
12.0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1857252.0,2017-01-01,global,3NdDpSvN911VPGivFlV5d0,0.735,0.451,0.0,-8.374,1.0,0.0585,0.0631,1.3000000000000001e-05,0.325,0.0862,117.973,144
13.0,Say You Won't Let Go,James Arthur,1812335.0,2017-01-01,global,5uCax9HTNlzGybIStD3vDh,0.358,0.557,10.0,-7.398,1.0,0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999999,123
14.0,Bad and Boujee (feat. Lil Uzi Vert),Migos,1801707.0,2017-01-01,global,4Km5HrUvYTaSUfiSGPJeQR,0.927,0.665,11.0,-5.313,1.0,0.244,0.061,0.0,0.12300000000000001,0.175,127.07600000000001,80
15.0,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1731191.0,2017-01-01,global,6DNtNfH8hXkqOX1sjqmI7p,0.608,0.7979999999999999,6.0,-5.092,0.0,0.0432,0.0736,0.0,0.156,0.501,92.943,60
16.0,In the Name of Love,Martin Garrix,1647944.0,2017-01-01,global,04DwTuZ2VBdJCCC5TROn7L,0.49,0.485,4.0,-6.237,0.0,0.0406,0.0592,0.0,0.337,0.196,133.889,60
17.0,Side To Side,Ariana Grande,1527676.0,2017-01-01,global,4pLwZjInHj3SimIyN9SnOz,0.648,0.738,6.0,-5.882999999999999,0.0,0.247,0.0408,0.0,0.292,0.603,159.145,57
18.0,Call On Me - Ryan Riback Extended Remix,Starley,1507320.0,2017-01-01,global,78rIJddV4X0HkNAInEcYde,0.67,0.838,0.0,-4.031000000000001,1.0,0.0362,0.0604,0.000611,0.159,0.7170000000000001,104.99799999999999,135
19.0,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1480601.0,2017-01-01,global,6JV2JOEocMgcZxYSZelKcc,0.667,0.83,0.0,-5.715,1.0,0.0749,0.0123,0.0,0.191,0.701,113.03,25
20.0,Don't Let Me Down (feat. Daya),The Chainsmokers,1438471.0,2017-01-01,global,0QsvXIfqM0zZoerQfsI9lm,0.542,0.8590000000000001,11.0,-5.651,1.0,0.19699999999999998,0.16,0.00466,0.13699999999999998,0.40299999999999997,159.797,26
21.0,Treat You Better,Shawn Mendes,1409430.0,2017-01-01,global,4Hf7WnR761jpxPr5D46Bcd,0.624,0.8029999999999999,10.0,-4.105,0.0,0.24600000000000002,0.12300000000000001,0.0,0.114,0.821,166.018,33
22.0,Just Hold On,Steve Aoki,1375005.0,2017-01-01,global,3EmmCZoqpWOTY1g2GBwJoR,0.647,0.932,11.0,-3.515,1.0,0.0824,0.0038299999999999996,1.5e-06,0.0574,0.374,114.991,76
23.0,My Way,Calvin Harris,1341827.0,2017-01-01,global,1vvNmPOiUuyCbgWmtc6yfm,0.8190000000000001,0.9129999999999999,4.0,-3.0589999999999997,0.0,0.0427,0.0935,3.72e-05,0.161,0.536,119.98899999999999,53
