name,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
"Beethoven: Trio for Oboe, Clarinet and Bassoon C Major, Op. 87: II. Adagio",Ludwig van Beethoven,5KhznZQE9EbrmXx2Q9WUZM,0.209,0.0407,5,-20.998,1,0.045,0.995,0.894,0.109,0.0788,66.236,256587,3,classical
Distance De Fée,Toru Takemitsu,3LO6mkszz2JSTk9AHr47e2,0.219,0.0317,8,-23.834,1,0.0435,0.975,0.00281,0.0997,0.0271,88.605,378800,4,classical
"Part Of Your World - From ""The Little Mermaid""",Royal Philharmonic Orchestra,464ugbhLm0zZ2zCaRMwg6n,0.282,0.155,2,-17.271,1,0.0331,0.919,0.939,0.11,0.1,91.703,252813,4,classical
Computer Love,Balanescu Quartet,4UmXzLXO9298F8UdR4Ndmn,0.542,0.218,5,-16.545,1,0.0411,0.912,0.926,0.174,0.56,123.812,380160,4,classical
Handel : Concerto grosso in F major Op.3 No.4a : IV Menuet - Alternat - Allegro,George Frideric Handel,6xhVveC94ilVUSkw0WNp0W,0.607,0.0342,4,-19.54,1,0.0402,0.969,0.00371,0.108,0.453,121.288,198013,3,classical
The End (Music For Cars),The 1975,4NGs8bDJyNV1dgnAbUVZS6,0.192,0.289,0,-11.716,1,0.0345,0.445,0.898,0.0738,0.0616,96.819,150930,3,classical
"Pequena Suíte, W064: V. Melodia",Heitor Villa-Lobos,0QoWnZHtYtAJRUAgtrqgU3,0.18,0.0438,11,-25.013,0,0.0415,0.993,0.938,0.0779,0.133,96.672,157293,4,classical
"Vremena goda, Op. 67: L'Automne: Petit Adagio",Alexander Glazunov,1c6PEv6hW9thHOyVsdYyOX,0.145,0.0959,9,-21.955,1,0.0401,0.962,0.807,0.141,0.0587,102.628,209880,1,classical
9999999,Aperture Science Psychoacoustic Laboratories,4vdsb4vl6VtGmUwFteOeWA,0.277,0.419,2,-17.783,0,0.0448,0.956,0.949,0.0993,0.0533,169.918,192426,3,classical
Lux aeterna: O Nata Lux,Morten Lauridsen,13GreMlcm7o0QufPZ1pvLR,0.0765,0.0213,2,-30.315,1,0.0554,0.991,0.68,0.104,0.0363,79.47,267120,4,classical
Nocturne in B-Flat Major,Maria Szymanowska,5n4l32Zzl54lVrvOhougkL,0.291,0.108,10,-20.741,1,0.0394,0.987,0.892,0.0889,0.0386,77.513,336373,3,classical
"Egmont, Op. 84: Overture in F Minor",Ludwig van Beethoven,3pr1F6H1z3U8ogRls62VK9,0.227,0.0692,5,-19.167,0,0.0485,0.887,0.7,0.0906,0.0648,182.603,441347,3,classical
All Who Labour,James Morgan,2ndO689ziczOhZmjwLnuJg,0.187,0.166,8,-23.772,1,0.0397,0.973,0.953,0.0654,0.0391,74.318,228413,3,classical
Connection,Keegan DeWitt,083Q6YlKA2ncxHz8Wj2erS,0.205,0.056,5,-24.648,1,0.0335,0.984,0.984,0.0848,0.055,76.243,139023,5,classical
Miserere: II. Amplius lava me - Tibi soli peccavi,Michel Richard Delalande,2PBnIMd4y1ExLextXn1qUq,0.325,0.126,11,-16.982,0,0.0486,0.988,0.000328,0.108,0.0711,129.107,150373,4,classical
"Suite No.3 In D, BWV 1068: 2. Air",Johann Sebastian Bach,7h6GoPvGHC9uzZJ8bNvfIq,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,365147,4,classical
Celestial Mechanics - Makrokosmos IV: I. Alpha Centauri,George Crumb,2di61xed2qf17HXYM96J5N,0.533,0.348,3,-16.291,1,0.0451,0.971,0.904,0.0886,0.0779,112.506,222853,3,classical
Nunc Dimittis,Paul Smith,5UGrkSBgsjfSLKEzBry1ol,0.189,0.104,2,-21.02,0,0.035,0.992,0.442,0.102,0.0352,84.058,255493,3,classical
What's All The Hurry / A Perfect Situation / Stir Things Up,George Bruns,1uSnRnSYxUsvj04GD2ZdRS,0.395,0.167,5,-12.603,1,0.0362,0.967,0.0111,0.0876,0.241,91.443,198667,4,classical
Main Title (The Godfather Waltz),Nino Rota,1swKKFR5trqbz9yxxL3WVO,0.213,0.107,0,-19.115,0,0.0392,0.974,0.879,0.0778,0.113,62.069,185467,4,classical
Welcome to Lunar Industries,Clint Mansell,4NkxNXR19hl20qlB2DOgAx,0.334,0.283,6,-17.184,0,0.0338,0.88,0.89,0.121,0.0366,111.642,431413,4,classical
The Promise,Michael Nyman,53ann6bENp7BF8uklrzQAp,0.0992,0.226,9,-14.84,0,0.0339,0.937,0.903,0.183,0.0605,79.518,256493,4,classical
